0.435417670 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.437587771 10.0.0.1:44798 10.0.0.2:5001 32 0x54796050 0x5478de38 28 24 67072 8
0.437817171 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.438822163 10.0.0.1:44798 10.0.0.2:5001 32 0x54799338 0x5478f4d8 28 24 67072 7
0.438932276 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.441325293 10.0.0.1:44798 10.0.0.2:5001 32 0x54799e88 0x54790028 28 24 67072 7
0.441423566 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.443746926 10.0.0.1:44798 10.0.0.2:5001 32 0x5479a430 0x54790b78 28 24 67072 8
0.445532741 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.446441602 10.0.0.1:44798 10.0.0.2:5001 32 0x5479a430 0x547916c8 28 24 67072 8
0.446553561 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.448946733 10.0.0.1:44798 10.0.0.2:5001 32 0x5479a430 0x54792218 28 24 67072 8
0.449151245 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.450190818 10.0.0.1:44798 10.0.0.2:5001 32 0x5479a430 0x54792d68 28 24 67072 8
0.450437107 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.453477732 10.0.0.1:44798 10.0.0.2:5001 32 0x5479d718 0x547938b8 28 24 67072 7
0.456300058 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.459430775 10.0.0.1:44798 10.0.0.2:5001 32 0x5479e268 0x54794408 28 24 67072 8
0.459467657 10.0.0.1:44798 10.0.0.2:5001 32 0x5479e810 0x54794f58 29 24 67072 8
0.459569350 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.460612037 10.0.0.1:44798 10.0.0.2:5001 32 0x5479e810 0x54795aa8 29 24 67072 8
0.461315827 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.462321273 10.0.0.1:44798 10.0.0.2:5001 32 0x5479e810 0x547965f8 29 24 67072 8
0.463243767 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.464266347 10.0.0.1:44798 10.0.0.2:5001 32 0x5479e810 0x54797148 29 24 67072 7
0.464460034 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.465744934 10.0.0.1:44798 10.0.0.2:5001 32 0x547a1af8 0x547976f0 29 24 69632 7
0.466108711 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.467160194 10.0.0.1:44798 10.0.0.2:5001 32 0x547a20a0 0x54797c98 29 24 72704 7
0.467338139 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.470462309 10.0.0.1:44798 10.0.0.2:5001 32 0x547a2bf0 0x547987e8 29 24 72704 7
0.470555852 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.472789398 10.0.0.1:44798 10.0.0.2:5001 32 0x547a2bf0 0x54799338 29 24 72704 7
0.473421874 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.475358517 10.0.0.1:44798 10.0.0.2:5001 32 0x547a2bf0 0x54799e88 29 24 72704 8
0.476239819 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.477476394 10.0.0.1:44798 10.0.0.2:5001 32 0x547a2bf0 0x5479a9d8 29 24 72704 8
0.478262197 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.479984812 10.0.0.1:44798 10.0.0.2:5001 32 0x547a2bf0 0x5479b528 29 24 72704 8
0.480230172 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.482561302 10.0.0.1:44798 10.0.0.2:5001 32 0x547a6480 0x5479c078 29 24 72704 7
0.484120577 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.485112800 10.0.0.1:44798 10.0.0.2:5001 32 0x547a6fd0 0x5479cbc8 29 24 72704 8
0.485296432 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.487950810 10.0.0.1:44798 10.0.0.2:5001 32 0x547a7578 0x5479d718 29 24 72704 8
0.488069344 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.489271072 10.0.0.1:44798 10.0.0.2:5001 32 0x547a7578 0x5479e268 29 24 72704 8
0.490431921 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.491456336 10.0.0.1:44798 10.0.0.2:5001 32 0x547a7578 0x5479edb8 29 24 72704 8
0.491665475 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.494706213 10.0.0.1:44798 10.0.0.2:5001 32 0x547a7578 0x5479f908 29 24 72704 8
0.494857508 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.497148436 10.0.0.1:44798 10.0.0.2:5001 32 0x547aa860 0x547a0458 29 24 72704 8
0.498276559 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.499407504 10.0.0.1:44798 10.0.0.2:5001 32 0x547ab3b0 0x547a0fa8 29 24 72704 8
0.499476893 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.502178949 10.0.0.1:44798 10.0.0.2:5001 32 0x547ab958 0x547a1af8 30 24 72704 8
0.502297211 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.505469641 10.0.0.1:44798 10.0.0.2:5001 32 0x547ab958 0x547a2648 30 24 72704 8
0.505717874 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
